TPX,TPY,TPZ,TVX,TVY,TVZ
0.0,0.0,1.2120058039361474,0.0,0.0,0.8316461235855217
0.0,0.0,1.2196836924265058,0.0,0.0,0.7677888490358233
0.0,0.0,1.2267271313708257,0.0,0.0,0.7043438944319851
0.0,0.0,1.2331398912785256,0.0,0.0,0.6412759907700181
0.0,0.0,1.2389253981180968,0.0,0.0,0.5785506839571346
0.0,0.0,1.244131503042098,0.0,0.0,0.5206104924001225
0.0,0.0,1.2489597496754148,0.0,0.0,0.48282466333165597
0.0,0.0,1.2536075419597883,0.0,0.0,0.46477922843733044
0.0,0.0,1.2582575936985143,0.0,0.0,0.46500517387261986
0.0,0.0,1.2630692055383466,0.0,0.0,0.4811611839832448
0.0,0.0,1.2681716911221175,0.0,0.0,0.5102485583770989
0.0,0.0,1.2736601336250661,0.0,0.0,0.5488442502948839
0.0,0.0,1.279593512541589,0.0,0.0,0.5933378916522954
0.0,0.0,1.2859950849015025,0.0,0.0,0.6401572359913709
0.0,0.0,1.2928548055065594,0.0,0.0,0.6859720605057066
0.0,0.0,1.300133428369488,0.0,0.0,0.727862286292876
0.0,0.0,1.3077678711074356,0.0,0.0,0.763444273794769
0.0,0.0,1.3156774178814525,0.0,0.0,0.7909546774016859
0.0,0.0,1.3237702702353182,0.0,0.0,0.8092852353865564
0.0,0.0,1.3319500330582783,0.0,0.0,0.8179762822960251
0.0,0.0,1.340121757745012,0.0,0.0,0.8171724686733494
0.0,0.0,1.3481972375020228,0.0,0.0,0.8075479757010778
0.0,0.0,1.356099333136601,0.0,0.0,0.7902095634577989
0.0,0.0,1.3637651932099253,0.0,0.0,0.766586007332441
0.0,0.0,1.3711483109067917,0.0,0.0,0.73831176968665
0.0,0.0,1.3782194377630508,0.0,0.0,0.7071126856259101
0.0,0.0,1.3849664182890238,0.0,0.0,0.6746980525973015
0.0,0.0,1.39139310200967,0.0,0.0,0.6426683720646217
0.0,0.0,1.3975174672963506,0.0,0.0,0.6124365286680723
0.0,0.0,1.403369161648179,0.0,0.0,0.5851694351828297
0.0,0.0,1.4089866394190862,0.0,0.0,0.5617477770907439
0.0,0.0,1.414414120211163,0.0,0.0,0.542748079207679
0.0,0.0,1.4196985316855897,0.0,0.0,0.5284411474426761
0.0,0.0,1.4248866176724153,0.0,0.0,0.5188085986825687
0.0,0.0,1.4300223567927914,0.0,0.0,0.5135739120376249
0.0,0.0,1.435144789600348,0.0,0.0,0.5122432807556742
0.0,0.0,1.4402863580579868,0.0,0.0,0.5141568457638869
0.0,0.0,1.4454717890663988,0.0,0.0,0.5185431008412226
0.0,0.0,1.4507175213252563,0.0,0.0,0.5245732258857306
0.0,0.0,1.456031664841317,0.0,0.0,0.5314143516060731
0.0,0.0,1.4614144389300439,0.0,0.0,0.5382774088726993
0.0,0.0,1.466859012758821,0.0,0.0,0.5444573828777016
0.0,0.0,1.472352660929571,0.0,0.0,0.5493648170749933
0.0,0.0,1.4778781339217386,0.0,0.0,0.5525472992167463
0.0,0.0,1.4834151422524733,0.0,0.0,0.5537008330734542
0.0,0.0,1.4889418582701621,0.0,0.0,0.5526716017688841
0.0,0.0,1.4944363469939428,0.0,0.0,0.5494488723780565
0.0,0.0,1.499877852442021,0.0,0.0,0.5441505448078262
0.0,0.0,1.5052478815867887,0.0,0.0,0.537002914476762
0.0,0.0,1.5105310454078182,0.0,0.0,0.5283163821029767
0.0,0.0,1.5157156353929113,0.0,0.0,0.518458998509317
0.0,0.0,1.5207939308790666,0.0,0.0,0.5078295486155332
0.0,0.0,1.525762246993378,0.0,0.0,0.4968316114311363
0.0,0.0,1.5306207577302788,0.0,0.0,0.4858510736900744
0.0,0.0,1.5353731008358191,0.0,0.0,0.47523431055404286
0.0,0.0,1.5400258477246074,0.0,0.0,0.4652746888788165
0.0,0.0,1.544587852538823,0.0,0.0,0.4562004814215542
0.0,0.0,1.5490695415333993,0.0,0.0,0.44816889945760674
